"y" "theta1"
3 1.33606925722049
4 1.50164216843995
6 1.61125718704024
7 1.70461884817716
7 1.96642213780938
6 2.23573794678666
13 2.22487554619569
12 2.03675186564783
5 1.7961941357516
10 2.02395168938097
7 2.13410152943608
12 2.21762183140801
9 1.79492055995957
6 1.84410349474245
4 1.53557182358202
7 1.83404415320744
7 2.16230128971577
10 2.09403865480518
7 1.78864985024646
5 1.62424691145162
7 1.70313318682835
4 1.73213480218927
6 1.62666566016186
2 1.50463378392425
2 1.36876149802741
4 1.46938134710291
5 1.47563796614683
4 1.301895160808
3 1.43321288527424
2 1.20096651550216
2 1.27593279662925
6 1.53552842178354
6 1.46079974741765
3 1.51332824078031
7 1.37756335372473
7 1.68617791833993
6 1.701724918383
6 1.87170791198452
1 1.88726742435908
9 1.82316978712793
6 1.75956288117525
5 1.79883151162898
6 2.0412730418386
9 2.14454746046512
12 2.20271806116882
6 2.23760768191779
7 2.36246744233302
15 2.49584592858569
11 2.77222651072343
20 2.90527897104579
11 2.75185801592041
12 2.77383943011166
10 2.75289953556398
14 2.71432123148289
13 2.52444965432811
18 2.6518704123771
15 2.54004459154254
12 2.68164737248325
6 2.48562448287028
12 2.27529397935952
15 2.48330728422628
15 2.30954644953437
9 2.19405790742393
5 2.26073931291626
10 2.23954764150218
13 2.17437217062373
9 2.17002601332434
15 2.47624875225846
7 2.32126910530856
19 2.23247547599279
14 2.38098479576969
10 2.34662638087681
9 2.20778503760454
7 2.03516207576147
7 2.30528113471335
4 1.95459664499085
8 1.97190425894879
6 2.07021902984519
6 2.34819124959234
9 2.5975815798328
9 2.40711669318903
9 2.36492952780042
14 2.07985124631794
7 2.00282971734059
1 1.6422780500487
5 1.83512216613978
3 1.785139825198
4 1.90583996404616
4 1.5862735232078
6 1.31753807695516
3 1.57393548918122
2 1.49290230193963
3 1.84627360568195
4 1.70766066642154
12 1.77590758471965
3 1.74550561218944
9 1.64445502529246
6 1.58162688871999
0 1.69885340803882
5 1.52691402148535
3 1.51838888010133
5 1.67350538910055
3 1.44225557945715
6 1.14000303806905
5 1.08405488097422
1 1.05793971364307
2 0.888958063692992
2 0.972649695896261
3 0.959830533504839
3 0.858659892124578
5 0.894772144903897
0 0.846403002591978
0 0.766378990987522
1 0.86236866170369
3 0.648528687538431
1 0.684028555040929
3 0.583141565286777
0 0.359013763752913
1 0.122541301223672
2 0.192477166202562
3 0.188460993895493
0 0.210773519839786
1 0.216522659646949
4 0.419402122923701
1 0.31061064388931
0 0.111276612705353
0 0.213200706794084
1 0.101354613078935
1 -0.167869815654614
1 0.184944113027235
0 -0.0676557496200856
1 0.0181880904287379
0 0.0379917009873926
1 0.29377878594449
1 0.164075471579805
1 0.230875109689393
1 0.414249763887139
2 0.229244013013166
1 -0.0372635209477575
1 0.0520527496364453
1 -0.0353463800348572
1 0.181200951939814
0 -0.0632757601491503
0 -0.271395941992226
2 -0.424251806570976
2 -0.491969001659431
1 -0.204136982017168
0 -0.161835823753875
1 -0.0246209118299859
3 0.148249694077195
0 0.126544612033078
3 -0.112588739625908
1 -0.119464288209108
1 -0.124091888742794
0 -0.212368352777177
1 -0.402228183118546
2 -0.249455419457484
2 -0.216543163466599
1 -0.331736880454672
0 -0.459638570922323
0 -0.533639945045725
1 -0.600026674270648
0 -0.340115337912528
0 -0.273631145298248
0 -0.0296943996617557
2 0.154729730915478
0 0.219963567302496
1 -0.247677993227708
2 -0.385448219048609
1 -0.377514806323369
0 -0.255592581397769
2 -0.324277010454469
0 -0.470546621396656
2 -0.685783425965714
1 -0.788250929104678
0 -0.645517131675509
0 -0.951153942090934
0 -0.841079720045184
0 -0.719053707534749
0 -0.293039608273528
0 -0.233709775015484
0 -0.186304363251396
1 0.056509101794851
4 -0.0842000598949614
2 0.342483810311007
1 0.259806875440942
2 0.719045840318968
0 0.735905706919437
1 0.717952809602776
2 0.849630615647474
1 0.840052827476738
2 0.814683024288726
2 0.82538898784142
1 0.997371870636199
2 0.855599293682308
1 0.843308283348217
3 0.951569506866762
3 0.842323527843296
1 0.831232569633142
2 0.695286013202676
