"y" "theta1" "theta2" "V" "W1" "W2"
2.45065336503861 2.19388280294048 0.960069809368218 0.5 0.02 0.005
3.16841153523573 3.24345290021416 0.98865589663941 0.5 0.02 0.005
5.87311138310411 4.44587028771391 0.98196249184316 0.5 0.02 0.005
7.03586612996181 5.41896366661388 1.07423070994976 0.5 0.02 0.005
6.20250739154682 6.29677981258763 1.05451736719624 0.5 0.02 0.005
5.56283650553706 7.44123414757859 1.0344176503657 0.5 0.02 0.005
7.91369142580644 8.13051765505284 1.12776376023577 0.5 0.02 0.005
9.86527107739887 9.0063663606782 1.11560736742964 0.5 0.02 0.005
10.2080776325844 10.389994557732 1.08516860322461 0.5 0.02 0.005
10.7732695294648 11.2258142461808 1.11770239918533 0.5 0.02 0.005
13.1398557391084 12.4079270194934 1.16754192526413 0.5 0.02 0.005
12.2752452705698 13.4893537508987 1.20324764445202 0.5 0.02 0.005
12.8745595380035 14.5816621384732 1.14307939145148 0.5 0.02 0.005
15.4745439737815 15.7298500379822 1.15764569216314 0.5 0.02 0.005
16.0271953981093 16.9947162031872 1.10625990104845 0.5 0.02 0.005
19.1833196113439 18.1621858164608 1.04888573933944 0.5 0.02 0.005
19.3776913867442 19.1500558486832 1.09524704578187 0.5 0.02 0.005
20.589049787067 20.1344513283742 1.20666780723659 0.5 0.02 0.005
21.8341429362065 21.3538132079896 1.22622289811179 0.5 0.02 0.005
22.7941830630421 22.5927403947561 1.01457946866183 0.5 0.02 0.005
23.9667965452596 23.5553850421842 1.02767724751178 0.5 0.02 0.005
25.70205169809 24.781014970187 0.976249932796023 0.5 0.02 0.005
26.4558144138386 25.8047609995681 1.04968340326529 0.5 0.02 0.005
26.8926205647648 26.9563919703079 0.975923755760746 0.5 0.02 0.005
27.6366565743686 28.0204945101772 0.908499472530687 0.5 0.02 0.005
29.3390925021305 29.0111592953792 0.962817911999303 0.5 0.02 0.005
30.9183549066574 29.848709522076 0.88505165887397 0.5 0.02 0.005
30.6847500189325 30.7702367804484 0.891305327450813 0.5 0.02 0.005
31.339097438359 31.4926384957522 0.934580043117762 0.5 0.02 0.005
32.9824541766362 32.401372837599 1.00057759493059 0.5 0.02 0.005
34.0586912958789 33.5988254184544 0.96690701392897 0.5 0.02 0.005
34.1537928844255 34.7624651598019 0.888362379016548 0.5 0.02 0.005
35.5473317254394 35.4907755196659 0.785180367591499 0.5 0.02 0.005
37.107083509259 36.3683329308707 0.870101443697094 0.5 0.02 0.005
36.6250792482952 37.0965592471427 1.00080885245443 0.5 0.02 0.005
38.0257753697878 38.1122900060565 0.970950852707897 0.5 0.02 0.005
